sample	n.loci	n.both.miss	n.b1.miss	n.b2.miss	n.both.genod	n.matched	n.mismatch.hom2hom	n.mismatch.het2hom	n.mismatch.hom2het
JUK07_13	6937	1535	400	957	4045	3750	174	99	22
JUK07_12	6937	3046	197	1826	1868	1740	75	30	23
GEO020414_2	6937	1514	473	581	4369	4050	191	92	36
JB021108_45	6937	1280	476	516	4665	4332	187	86	60
JUK07_15	6937	1263	470	483	4721	4384	187	94	56
NA021015_25	6937	1212	488	439	4798	4458	202	98	40
GEO020414_11	6937	1217	483	461	4776	4403	193	124	56
PO010715_27.1	6937	1377	455	581	4524	4180	186	96	62
GE011215_08.1	6937	1542	418	837	4140	3740	157	111	132
JB021108_25.1	6937	3085	252	1047	2553	2377	106	48	22
JB021108_46_rep.1	6937	1242	468	492	4735	4404	196	104	31
GE012315_11_2	6937	1151	455	448	4883	4366	157	208	152
BOR07_07.1	6937	1215	474	445	4803	4432	188	122	61
GE012315_10.1	6937	1339	443	647	4508	4032	167	130	179
GEO012315_12	6937	1212	458	486	4781	4410	190	144	37
JUK07_14	6937	1622	459	590	4266	3973	175	83	35
PO010715_26	6937	1212	472	446	4807	4271	183	145	208
GEO012315_18	6937	1307	458	531	4641	4301	206	88	46
JB021108_48.1	6937	1474	441	590	4432	4081	179	97	75
JB121807_05_2	6937	1287	457	620	4573	4229	184	114	46
GEO020414_27	6937	1458	481	520	4478	4177	182	90	29
JB121807_33.1	6937	1680	402	690	4165	3871	173	85	36
NA021015_02.1	6937	1416	455	552	4514	4192	188	87	47
YS_121316_18	6937	1520	465	596	4356	4048	180	95	33
JB121807_12.1	6937	2819	280	1142	2696	2504	116	50	26
JUK07_29.1	6937	1224	476	439	4798	4403	190	110	95
JB121807_23_2	6937	1780	390	1009	3758	3500	159	66	33
GEO020414_4	6937	1262	468	505	4702	4354	206	101	41
JB121807_41.1	6937	3081	258	825	2773	2562	120	57	34
BOR07_12.1	6937	1266	461	523	4687	4293	191	113	90
BOR07_10.1	6937	1292	458	591	4596	4072	164	148	212
GE012315_05.1	6937	1385	447	575	4530	4213	178	99	40
YS_121316_21_2	6937	1211	478	433	4815	4427	193	124	71
JB121807_19.1	6937	1379	443	712	4403	4110	176	94	23
PO010715_07_rep	6937	1232	478	525	4702	4294	198	110	100
JB121807_25	6937	2645	293	1182	2817	2627	115	53	22
JB121807_01	6937	1365	429	652	4491	4192	182	95	22
GEO012315_21	6937	1296	458	525	4658	4323	195	108	32
GE011215_11	6937	1222	477	434	4804	4430	194	105	75
JB121807_05	6937	2658	312	924	3043	2837	133	48	25
GEO012315_02	6937	1284	466	504	4683	4363	192	94	34
PO031715_04	6937	1234	480	568	4655	4343	182	104	26
PO020515_10.1	6937	1381	458	509	4589	4239	191	105	54
YS_121316_28	6937	1835	444	730	3928	3640	161	92	35
YS_121316_29	6937	2118	422	953	3444	3193	139	67	45
NA021015_10.1	6937	1312	468	488	4669	4177	169	133	190
PO031715_23	6937	1234	476	517	4710	4376	198	96	40
JUK07_32	6937	1240	485	436	4776	4398	194	87	97
GEO020414_16	6937	1309	487	534	4607	4278	192	95	42
GE011215_30.1	6937	1237	472	479	4749	4202	178	146	223
