populations -b 8 -P ../stacks_b8_wgenome_r05 -M PopMap_combo_b4.txt -t 36 -r 0.5 -p 3 -m 3 --write_random_snp --genepop --fasta
populations version 1.44 executed 2018-01-25 16:09:31

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
0	242
1	82
2	73
3	51
4	42
5	23
6	14
7	25
8	14
9	7
10	7
11	6
12	7
13	4
14	4
15	10
16	5
17	4
18	1
19	3
20	6
21	3
22	1
24	1
26	3
27	4
28	3
29	3
30	1
32	1
33	3
34	2
35	4
36	2
37	3
38	3
39	2
40	1
41	2
42	3
43	1
45	1
46	2
49	3
53	1
54	1
55	3
56	2
58	2
59	3
60	1
61	1
62	1
63	1
64	2
66	1
67	1
68	1
71	1
73	1
74	1
75	2
76	1
77	1
78	4
79	3
80	1
81	2
82	2
83	1
84	2
85	1
86	1
87	1
88	2
90	2
91	2
92	5
93	1
95	1
96	1
97	2
98	1
99	3
100	1
102	1
104	1
106	2
107	3
110	1
111	2
112	2
113	1
114	2
115	1
116	2
117	1
118	1
119	3
120	3
121	1
122	4
123	3
124	2
125	1
126	1
127	4
128	2
130	3
132	1
133	1
134	2
135	3
136	1
137	1
138	1
139	1
141	2
142	5
143	1
144	1
145	1
146	1
147	2
148	1
149	2
152	2
153	3
154	1
156	1
157	3
158	1
162	1
164	1
165	2
166	3
167	2
168	2
169	2
170	1
171	4
172	1
173	1
175	2
177	7
178	1
179	2
180	3
181	2
182	1
183	1
185	2
186	3
188	3
189	1
190	2
191	2
192	4
193	1
194	1
195	3
197	1
198	1
199	3
200	4
201	2
202	3
203	3
204	2
205	1
207	2
208	3
209	2
210	3
211	5
212	1
213	1
214	1
215	1
216	3
217	2
218	1
219	3
220	5
224	1
225	2
226	4
227	1
228	3
229	5
230	3
231	4
232	5
233	4
234	1
235	6
236	3
237	4
238	4
239	2
240	5
241	1
242	5
243	3
244	4
245	3
246	5
247	4
248	6
249	4
250	7
251	8
252	3
253	3
254	2
255	1
256	6
257	7
258	5
259	5
260	8
261	8
262	11
263	7
264	8
265	6
266	6
267	6
268	5
269	4
270	10
271	10
272	9
273	8
274	8
275	9
276	15
277	10
278	8
279	7
280	12
281	11
282	14
283	10
284	15
285	10
286	12
287	10
288	8
289	23
290	21
291	15
292	17
293	16
294	10
295	16
296	12
297	20
298	19
299	15
300	22
301	19
302	14
303	20
304	24
305	17
306	20
307	22
308	26
309	25
310	30
311	27
312	28
313	27
314	34
315	31
316	37
317	20
318	25
319	18
320	22
321	17
322	5
323	15
324	8
325	10
326	9
327	9
328	9
329	4
330	5
331	5
332	11
333	10
334	8
335	9
336	11
337	8
338	1
339	9
340	10
341	8
342	4
343	7
344	4
345	2
346	5
347	7
348	2
349	3
350	7
351	4
352	3
353	6
354	8
355	6
356	3
357	2
358	3
359	12
360	4
361	4
362	10
363	6
364	4
365	9
366	5
367	13
368	4
369	8
370	5
371	2
372	7
373	9
374	6
375	7
376	8
377	8
378	1
379	3
380	10
381	7
383	9
384	6
385	11
386	2
387	6
388	6
389	10
390	4
391	4
392	5
393	8
394	4
395	5
396	4
397	8
398	8
399	5
400	5
401	2
402	10
403	7
404	9
405	8
406	5
407	4
408	2
409	8
410	7
411	8
412	5
413	9
414	5
415	8
416	7
417	7
418	10
419	7
420	4
421	3
422	2
423	10
424	7
425	5
426	9
427	6
428	6
429	7
430	8
431	6
432	11
433	10
434	10
435	3
436	10
437	7
438	6
439	8
440	8
441	5
442	8
443	6
444	6
445	5
446	6
447	7
448	6
449	3
450	9
451	7
452	12
453	7
454	4
455	6
456	10
457	7
458	8
459	11
460	8
461	6
462	8
463	7
464	12
465	4
466	8
467	6
468	13
469	13
470	9
471	5
472	12
473	8
474	9
475	9
476	8
477	7
478	7
479	8
480	8
481	8
482	12
483	11
484	10
485	11
486	8
487	13
488	20
489	8
490	13
491	6
492	10
493	15
494	11
495	16
496	13
497	6
498	14
499	15
500	8
501	10
502	7
503	7
504	12
505	13
506	9
507	13
508	16
509	19
510	15
511	24
512	15
513	22
514	10
515	18
516	17
517	13
518	17
519	14
520	12
521	16
522	15
523	14
524	26
525	16
526	20
527	10
528	21
529	19
530	14
531	28
532	22
533	19
534	27
535	22
536	17
537	18
538	9
539	23
540	21
541	24
542	26
543	22
544	17
545	30
546	24
547	26
548	31
549	24
550	24
551	34
552	28
553	30
554	31
555	25
556	24
557	25
558	42
559	30
560	46
561	27
562	28
563	38
564	35
565	32
566	34
567	39
568	46
569	41
570	32
571	53
572	45
573	46
574	42
575	34
576	46
577	41
578	60
579	55
580	59
581	43
582	53
583	57
584	61
585	51
586	46
587	60
588	56
589	59
590	55
591	54
592	59
593	69
594	64
595	67
596	64
597	76
598	77
599	79
600	75
601	72
602	83
603	82
604	80
605	113
606	100
607	102
608	130
609	105
610	93
611	92
612	104
613	94
614	107
615	108
616	135
617	115
618	121
619	117
620	113
621	115
622	141
623	144
624	136
625	140
626	156
627	173
628	160
629	153
630	181
631	189
632	169
633	188
634	174
635	203
636	188
637	228
638	206
639	227
640	216
641	248
642	240
643	265
644	285
645	276
646	264
647	288
648	319
649	331
650	311
651	366
652	351
653	410
654	403
655	434
656	441
657	465
658	488
659	536
660	553
661	551
662	591
663	618
664	675
665	671
666	639
667	591
668	571
669	521
670	370
671	302
672	204
673	124
674	66
675	32
676	26
677	10
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	26039
1	4
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	26039
1	4
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
42	2
44	1
45	2
52	1
53	1
54	3
58	1
60	1
64	4
66	2
67	1
68	1
70	1
71	2
72	2
73	2
74	1
76	2
77	1
78	1
83	1
85	3
91	1
92	2
93	1
94	1
96	1
97	1
100	2
103	1
104	2
106	2
107	1
109	2
110	1
111	3
112	1
115	1
117	1
118	3
119	2
121	2
123	2
125	1
126	3
128	2
129	1
130	1
131	3
132	1
133	1
134	2
136	1
138	2
140	2
142	1
143	1
144	1
146	1
147	1
148	1
149	1
151	2
152	1
154	1
155	1
156	1
157	1
158	1
160	1
161	2
162	2
163	3
164	1
165	1
166	1
167	3
168	2
169	2
170	3
171	1
172	1
173	3
174	2
175	2
176	2
177	2
178	1
179	2
181	4
182	2
183	1
184	4
185	3
186	3
187	4
188	2
190	4
191	2
192	1
193	4
194	1
195	2
196	2
197	1
199	1
200	4
202	3
203	4
204	2
205	2
206	3
207	2
208	2
209	1
211	5
212	2
213	2
214	3
216	6
217	4
218	3
219	3
220	4
221	2
222	3
223	3
224	2
225	3
226	4
227	1
228	5
229	5
230	6
231	5
232	8
233	3
234	5
235	6
236	2
237	6
238	7
239	6
240	10
241	4
242	8
243	5
244	3
245	4
246	7
247	4
248	9
249	4
250	7
251	6
252	5
253	7
254	3
255	4
256	11
257	14
258	10
259	8
260	9
261	8
262	8
263	9
264	10
265	8
266	14
267	15
268	12
269	11
270	16
271	13
272	13
273	16
274	14
275	16
276	16
277	17
278	17
279	16
280	22
281	11
282	25
283	21
284	20
285	18
286	18
287	18
288	23
289	16
290	20
291	28
292	15
293	16
294	14
295	22
296	23
297	27
298	21
299	32
300	32
301	25
302	27
303	20
304	38
305	27
306	33
307	41
308	40
309	46
310	43
311	44
312	53
313	46
314	43
315	43
316	28
317	28
318	29
319	21
320	19
321	10
322	11
323	8
324	4
325	5
326	5
327	2
328	2
329	4
330	1
331	7
332	7
333	3
334	6
335	4
336	2
337	4
338	6
339	5
340	5
341	4
342	5
343	5
344	3
345	4
346	3
347	4
348	6
349	3
350	1
351	5
352	3
353	5
354	2
355	2
356	3
357	3
358	4
359	5
360	10
361	1
362	2
363	1
364	3
365	4
366	7
367	7
368	6
369	6
370	10
371	4
372	2
373	2
374	2
375	1
376	4
377	2
378	1
379	7
381	7
382	4
383	6
384	3
385	2
386	1
387	4
388	3
389	5
390	7
391	3
392	4
393	6
394	3
395	5
396	8
397	4
398	4
399	2
400	2
401	3
402	3
403	3
404	6
405	4
406	4
407	4
408	3
409	4
410	3
411	3
412	8
413	3
414	2
415	2
416	5
417	7
418	4
419	2
420	3
421	4
422	4
423	1
424	4
425	6
426	6
427	4
428	5
429	5
430	5
431	4
432	3
433	2
434	7
435	1
436	3
437	4
438	7
439	1
440	6
441	6
442	10
443	4
444	2
445	5
446	7
447	6
448	6
449	3
450	12
451	6
452	6
453	4
454	2
455	5
456	6
457	2
458	6
459	7
460	7
461	5
462	8
463	6
464	4
465	6
466	9
467	3
468	8
469	7
470	8
471	9
472	7
474	8
475	8
476	5
477	6
478	9
479	4
480	7
481	8
482	6
483	8
484	5
485	10
486	5
487	3
488	6
489	11
490	12
491	6
492	7
493	8
494	9
495	12
496	7
497	10
498	11
499	7
500	9
501	11
502	17
503	15
504	9
505	11
506	9
507	6
508	13
509	16
510	12
511	11
512	15
513	9
514	10
515	10
516	12
517	14
518	15
519	12
520	8
521	11
522	16
523	13
524	21
525	15
526	17
527	11
528	16
529	23
530	15
531	25
532	18
533	19
534	17
535	24
536	13
537	13
538	10
539	22
540	17
541	22
542	22
543	24
544	17
545	27
546	25
547	22
548	31
549	26
550	25
551	23
552	31
553	31
554	34
555	28
556	22
557	27
558	36
559	38
560	40
561	30
562	32
563	33
564	34
565	31
566	34
567	37
568	50
569	36
570	36
571	58
572	54
573	49
574	36
575	42
576	51
577	38
578	67
579	53
580	52
581	46
582	50
583	61
584	50
585	51
586	44
587	57
588	58
589	55
590	51
591	53
592	62
593	64
594	70
595	62
596	59
597	73
598	71
599	79
600	79
601	66
602	87
603	77
604	82
605	103
606	97
607	103
608	122
609	104
610	92
611	86
612	102
613	86
614	117
615	94
616	127
617	116
618	120
619	108
620	116
621	115
622	140
623	144
624	140
625	147
626	150
627	175
628	151
629	158
630	173
631	193
632	176
633	180
634	181
635	197
636	193
637	224
638	207
639	232
640	212
641	242
642	248
643	263
644	284
645	274
646	266
647	280
648	323
649	331
650	314
651	360
652	359
653	406
654	398
655	438
656	440
657	466
658	488
659	536
660	554
661	545
662	593
663	618
664	675
665	670
666	635
667	594
668	571
669	520
670	368
671	301
672	205
673	123
674	66
675	32
676	26
677	10
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	25221
1	3
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	21636
1	922
2	203
3	114
4	66
5	37
6	29
7	20
8	24
9	26
10	36
11	42
12	21
13	17
14	12
15	25
16	26
17	29
18	21
19	31
20	29
21	43
22	59
23	77
24	56
25	45
26	56
27	31
28	18
29	20
30	14
31	23
32	14
33	53
34	24
35	21
36	17
37	22
38	16
39	13
40	18
41	15
42	20
43	19
44	28
45	21
46	20
47	18
48	20
49	12
50	16
51	21
52	12
53	17
54	19
55	13
56	13
57	16
58	9
59	23
60	18
61	16
62	17
63	11
64	15
65	21
66	16
67	17
