populations -b 4 -P ../stacks_b4_wgenome -M PopMap_combo_b4.txt -t 36 -r 0.8 -p 3 -m 10 --write_random_snp --genepop --fasta
populations version 1.44 executed 2017-10-24 17:53:34

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
0	242
1	82
2	73
3	51
4	42
5	23
6	14
7	25
8	14
9	7
10	7
11	6
12	7
13	4
14	4
15	10
16	5
17	4
18	1
19	3
20	6
21	3
22	1
24	1
26	3
27	4
28	3
29	3
30	1
32	1
33	3
34	2
35	4
36	2
37	3
38	3
39	2
40	1
41	2
42	3
43	1
45	1
46	2
49	3
53	1
54	1
55	3
56	2
58	2
59	3
60	1
61	1
62	1
63	1
64	2
66	1
67	1
68	1
71	1
73	1
74	1
75	2
76	1
77	1
78	4
79	3
80	1
81	2
82	2
83	1
84	2
85	1
86	1
87	1
88	2
90	2
91	2
92	5
93	1
95	1
96	1
97	2
98	1
99	3
100	1
102	1
104	1
106	2
107	3
110	1
111	2
112	2
113	1
114	2
115	1
116	2
117	1
118	1
119	3
120	3
121	1
122	4
123	3
124	2
125	1
126	1
127	4
128	2
130	3
132	1
133	1
134	2
135	3
136	1
137	1
138	1
139	1
141	2
142	5
143	1
144	1
145	1
146	1
147	2
148	1
149	2
152	2
153	3
154	1
156	1
157	3
158	1
162	1
164	1
165	2
166	3
167	2
168	2
169	2
170	1
171	4
172	1
173	1
175	2
177	7
178	1
179	2
180	3
181	2
182	1
183	1
185	2
186	3
188	3
189	1
190	2
191	2
192	4
193	1
194	1
195	3
197	1
198	1
199	3
200	4
201	2
202	3
203	3
204	2
205	1
207	2
208	3
209	2
210	3
211	5
212	1
213	1
214	1
215	1
216	3
217	2
218	1
219	3
220	5
224	1
225	2
226	4
227	1
228	3
229	5
230	3
231	4
232	5
233	4
234	1
235	6
236	3
237	4
238	4
239	2
240	5
241	1
242	5
243	3
244	4
245	3
246	5
247	4
248	6
249	4
250	7
251	8
252	3
253	3
254	2
255	1
256	6
257	7
258	5
259	5
260	8
261	8
262	11
263	7
264	8
265	6
266	6
267	6
268	5
269	4
270	10
271	10
272	9
273	8
274	8
275	9
276	15
277	10
278	8
279	7
280	12
281	11
282	14
283	10
284	15
285	10
286	12
287	10
288	8
289	23
290	21
291	15
292	17
293	16
294	10
295	16
296	12
297	20
298	19
299	15
300	22
301	19
302	14
303	20
304	24
305	17
306	20
307	22
308	26
309	25
310	30
311	27
312	28
313	27
314	34
315	31
316	37
317	20
318	25
319	18
320	22
321	17
322	5
323	15
324	8
325	10
326	9
327	9
328	9
329	4
330	5
331	5
332	11
333	10
334	8
335	9
336	11
337	8
338	1
339	9
340	10
341	8
342	4
343	7
344	4
345	2
346	5
347	7
348	2
349	3
350	7
351	4
352	3
353	6
354	8
355	6
356	3
357	2
358	3
359	12
360	4
361	4
362	10
363	6
364	4
365	9
366	5
367	13
368	4
369	8
370	5
371	2
372	7
373	9
374	6
375	7
376	8
377	8
378	1
379	3
380	10
381	7
383	9
384	6
385	11
386	2
387	6
388	6
389	10
390	4
391	4
392	5
393	8
394	4
395	5
396	4
397	8
398	8
399	5
400	5
401	2
402	10
403	7
404	9
405	8
406	5
407	4
408	2
409	8
410	7
411	8
412	5
413	9
414	5
415	8
416	7
417	7
418	10
419	7
420	4
421	3
422	2
423	10
424	7
425	5
426	9
427	6
428	6
429	7
430	8
431	6
432	11
433	10
434	10
435	3
436	10
437	7
438	6
439	8
440	8
441	5
442	8
443	6
444	6
445	5
446	6
447	7
448	6
449	3
450	9
451	7
452	12
453	7
454	4
455	6
456	10
457	7
458	8
459	11
460	8
461	6
462	8
463	7
464	12
465	4
466	8
467	6
468	13
469	13
470	9
471	5
472	12
473	8
474	9
475	9
476	8
477	7
478	7
479	8
480	8
481	8
482	12
483	11
484	10
485	11
486	8
487	13
488	20
489	8
490	13
491	6
492	10
493	15
494	11
495	16
496	13
497	6
498	14
499	15
500	8
501	10
502	7
503	7
504	12
505	13
506	9
507	13
508	16
509	19
510	15
511	24
512	15
513	22
514	10
515	18
516	17
517	13
518	17
519	14
520	12
521	16
522	15
523	14
524	26
525	16
526	20
527	10
528	21
529	19
530	14
531	28
532	22
533	19
534	27
535	22
536	17
537	18
538	9
539	23
540	21
541	24
542	26
543	22
544	17
545	30
546	24
547	26
548	31
549	24
550	24
551	34
552	28
553	30
554	31
555	25
556	24
557	25
558	42
559	30
560	46
561	27
562	28
563	38
564	35
565	32
566	34
567	39
568	46
569	41
570	32
571	53
572	45
573	46
574	42
575	34
576	46
577	41
578	60
579	55
580	59
581	43
582	53
583	57
584	61
585	51
586	46
587	60
588	56
589	59
590	55
591	54
592	59
593	69
594	64
595	67
596	64
597	76
598	77
599	79
600	75
601	72
602	83
603	82
604	80
605	113
606	100
607	102
608	130
609	105
610	93
611	92
612	104
613	94
614	107
615	108
616	135
617	115
618	121
619	117
620	113
621	115
622	141
623	144
624	136
625	140
626	156
627	173
628	160
629	153
630	181
631	189
632	169
633	188
634	174
635	203
636	188
637	228
638	206
639	227
640	216
641	248
642	240
643	265
644	285
645	276
646	264
647	288
648	319
649	331
650	311
651	366
652	351
653	410
654	403
655	434
656	441
657	465
658	488
659	536
660	553
661	551
662	591
663	618
664	675
665	671
666	639
667	591
668	571
669	521
670	370
671	302
672	204
673	124
674	66
675	32
676	26
677	10
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	26039
1	4
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	26039
1	4
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
61	1
62	2
63	1
64	3
65	2
66	4
67	4
69	3
70	4
71	10
72	1
73	2
74	11
75	15
76	11
77	12
78	13
79	16
80	14
81	16
82	4
83	10
84	11
85	12
86	9
87	12
88	4
89	9
90	8
91	8
92	6
93	5
94	6
95	5
96	12
97	9
98	7
99	7
100	10
101	8
102	11
103	8
104	6
105	17
106	16
107	11
108	12
109	17
110	17
111	16
112	14
113	16
114	8
115	15
116	13
117	8
118	14
119	9
120	12
121	11
122	9
123	6
124	7
125	9
126	10
127	18
128	11
129	11
130	11
131	8
132	12
133	11
134	11
135	14
136	17
137	16
138	15
139	14
140	17
141	11
142	15
143	12
144	19
145	10
146	8
147	12
148	13
149	5
150	7
151	5
152	9
153	11
154	6
155	12
156	14
157	10
158	20
159	24
160	16
161	21
162	28
163	21
164	25
165	12
166	24
167	17
168	19
169	29
170	33
171	19
172	21
173	27
174	20
175	18
176	9
177	18
178	16
179	17
180	12
181	12
182	20
183	11
184	9
185	13
186	14
187	11
188	10
189	11
190	16
191	14
192	26
193	13
194	21
195	20
196	36
197	46
198	38
199	47
200	72
201	67
202	77
203	108
204	95
205	116
206	127
207	155
208	178
209	207
210	201
211	189
212	184
213	138
214	95
215	32
216	11
217	12
218	8
219	19
220	9
221	8
222	14
223	13
224	10
225	7
226	11
227	11
228	13
229	13
230	18
231	19
232	14
233	4
234	8
235	12
236	7
237	18
238	11
239	16
240	13
241	15
242	20
243	28
244	26
245	35
246	40
247	62
248	47
249	55
250	73
251	78
252	68
253	64
254	75
255	51
256	58
257	72
258	65
259	65
260	66
261	55
262	40
263	42
264	24
265	17
266	22
267	14
268	26
269	18
270	20
271	23
272	17
273	19
274	22
275	10
276	3
277	11
278	14
279	10
280	10
281	4
282	6
283	11
284	11
285	16
286	22
287	29
288	23
289	36
290	36
291	36
292	44
293	45
294	40
295	52
296	52
297	54
298	69
299	59
300	93
301	106
302	70
303	88
304	87
305	107
306	112
307	92
308	105
309	78
310	90
311	91
312	87
313	86
314	67
315	47
316	49
317	39
318	36
319	26
320	19
321	7
322	10
323	13
324	10
325	12
326	11
327	14
328	21
329	17
330	18
331	11
332	23
333	20
334	17
335	20
336	30
337	30
338	34
339	33
340	46
341	46
342	51
343	58
344	54
345	71
346	76
347	77
348	74
349	79
350	76
351	82
352	88
353	70
354	88
355	69
356	56
357	62
358	57
359	40
360	44
361	23
362	12
363	18
364	18
365	14
366	24
367	21
368	20
369	11
370	21
371	16
372	19
373	19
374	27
375	23
376	17
377	19
378	19
379	27
380	29
381	24
382	26
383	16
384	28
385	26
386	30
387	44
388	48
389	42
390	40
391	52
392	46
393	62
394	60
395	62
396	37
397	50
398	47
399	46
400	57
401	45
402	43
403	28
404	31
405	32
406	25
407	28
408	26
409	28
410	25
411	22
412	25
413	20
414	26
415	31
416	21
417	14
418	12
419	19
420	18
421	16
422	21
423	15
424	22
425	19
426	18
427	26
428	26
429	31
430	36
431	38
432	34
433	33
434	48
435	53
436	49
437	48
438	55
439	51
440	64
441	69
442	49
443	57
444	45
445	41
446	40
447	47
448	43
449	49
450	42
451	36
452	35
453	24
454	25
455	27
456	23
457	22
458	29
459	28
460	15
461	16
462	16
463	10
464	15
465	13
466	10
467	12
468	13
469	18
470	22
471	16
472	23
473	14
474	21
475	23
476	24
477	29
478	29
479	38
480	39
481	35
482	45
483	43
484	51
485	47
486	58
487	59
488	38
489	57
490	61
491	55
492	55
493	41
494	60
495	44
496	44
497	42
498	33
499	35
500	23
501	27
502	24
503	15
504	19
505	32
506	17
507	12
508	16
509	17
510	7
511	7
512	12
513	19
514	12
515	19
516	20
517	11
518	16
519	14
520	16
521	19
522	21
523	26
524	29
525	35
526	46
527	39
528	51
529	56
530	42
531	57
532	68
533	64
534	74
535	67
536	74
537	86
538	83
539	74
540	73
541	62
542	61
543	61
544	60
545	42
546	38
547	39
548	38
549	33
550	37
551	19
552	25
553	21
554	17
555	13
556	14
557	3
558	15
559	13
560	10
561	9
562	15
563	18
564	15
565	18
566	19
567	13
568	33
569	21
570	22
571	21
572	27
573	28
574	45
575	52
576	46
577	63
578	63
579	73
580	72
581	73
582	84
583	89
584	92
585	76
586	89
587	79
588	86
589	75
590	74
591	74
592	62
593	64
594	61
595	59
596	45
597	50
598	42
599	38
600	36
601	23
602	21
603	20
604	22
605	14
606	14
607	9
608	17
609	15
610	10
611	11
612	8
613	9
614	17
615	21
616	11
617	20
618	19
619	33
620	42
621	36
622	46
623	45
624	45
625	60
626	64
627	73
628	87
629	71
630	92
631	98
632	96
633	89
634	125
635	123
636	140
637	135
638	143
639	164
640	132
641	151
642	163
643	174
644	183
645	166
646	184
647	188
648	187
649	177
650	175
651	191
652	185
653	210
654	171
655	199
656	178
657	172
658	129
659	140
660	123
661	120
662	91
663	75
664	79
665	56
666	45
667	51
668	24
669	24
670	19
671	18
672	16
673	11
674	13
675	10
676	6
677	5
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	24492
1	3
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	42
1	41
2	51
3	75
4	77
5	123
6	136
7	163
8	163
9	210
10	254
11	245
12	293
13	258
14	260
15	265
16	288
17	241
18	209
19	245
20	211
21	210
22	216
23	203
24	185
25	177
26	170
27	167
28	147
29	114
30	152
31	109
