sample	prop_het	prop_missing
PO010715_02_92bp	0.129987586	0.00774239
PO010715_02_rep_92bp	0.129146709	0.008094316
PO010715_04_92bp	0.124621684	0.011613584
PO010715_06.1_92bp	0.112452694	0.023579096
PO010715_08.1_92bp	0.117531657	0.013373218
PO010715_10.1_92bp	0.127697521	0.013373218
PO010715_11.1_92bp	0.128173043	0.015660743
PO010715_12_92bp	0.121109728	0.010557804
PO010715_17.1_92bp	0.120575022	0.020763681
PO010715_19.1_92bp	0.124153901	0.012141475
PO010715_27.1_92bp	0.123700251	0.018476157
PO010715_28.1_92bp	0.126896306	0.014077072
PO010715_29.1_92bp	0.121548942	0.018476157
PO020515_01_92bp	0.122663343	0.011613584
PO020515_03.1_92bp	0.12609708	0.01759634
PO020515_05.1_92bp	0.127207207	0.023403132
PO020515_06_92bp	0.13326207	0.012317438
PO020515_08.1_92bp	0.122397703	0.019531937
PO020515_09.1_92bp	0.126694379	0.02639451
PO020515_10.1_92bp	0.127667205	0.01865212
PO020515_14.1_92bp	0.120520592	0.013021292
PO020515_15.1_92bp	0.125710227	0.008974133
PO020515_16.1_92bp	0.126672614	0.013725145
PO020515_17.1_92bp	0.120135666	0.014253035
PO031715_03_92bp	0.124733096	0.011085694
PO031715_04_92bp	0.127826242	0.011613584
PO031715_13.1_92bp	0.130217624	0.013549182
PO031715_20.1_92bp	0.120416966	0.020939645
PO031715_23_92bp	0.120526972	0.011613584
PO031715_24_92bp	0.1217903	0.013197255
PO010715_26_2_92bp	0.124091473	0.007390463
PO010715_07_92bp	0.129181495	0.011085694
PO010715_07_rep_92bp	0.127958712	0.011261658
GE011215_01.1_92bp	0.127094474	0.012845328
GE011215_07.1_92bp	0.122459989	0.021467535
GE011215_08.1_92bp	0.124795937	0.029913778
GE011215_09.1_92bp	0.126182402	0.014077072
GE011215_10.1_92bp	0.12723055	0.013901109
GE011215_14.1_92bp	0.118139701	0.012493401
GE011215_15.1_92bp	0.133820385	0.012493401
GE011215_16.1_92bp	0.127383951	0.021995425
GE011215_18_92bp	0.125778331	0.010909731
GE011215_19_92bp	0.12680064	0.010557804
GE011215_20.1_92bp	0.131293364	0.010909731
GE011215_21.1_92bp	0.124285714	0.014604962
GE011215_22_92bp	0.123601492	0.009150097
GE011215_24.1_92bp	0.128553549	0.015836706
GE011215_28_92bp	0.129777778	0.010205877
GE011215_29.1_92bp	0.127783863	0.036072497
GE012315_01.1_92bp	0.127778782	0.02639451
GE012315_03.1_92bp	0.122346168	0.021995425
GE012315_05.1_92bp	0.135635906	0.021819462
GE012315_06.1_92bp	0.138585497	0.017244413
GE012315_08.1_92bp	0.127009646	0.014956889
GE012315_17.1_92bp	0.124821683	0.013197255
GE012315_20.1_92bp	0.126958689	0.011789548
GE012315_22.1_92bp	0.118219499	0.023579096
GEO012315_02_92bp	0.104565801	0.017244413
GEO012315_12_92bp	0.136209663	0.013021292
GEO012315_18_92bp	0.108127462	0.01706845
GEO012315_21_92bp	0.111031519	0.017420377
GE011215_11_92bp	0.12777679	0.00985395
GE011215_11_rep_92bp	0.126955903	0.010381841
NA021015_02.1_92bp	0.131702051	0.021995425
NA021015_08.1_92bp	0.122300853	0.030265705
NA021015_14.1_92bp	0.126401994	0.011613584
NA021015_16.1_92bp	0.124376336	0.012493401
NA021015_17.1_92bp	0.124710493	0.012317438
NA021015_21.1_92bp	0.129124309	0.013373218
NA021015_22.1_92bp	0.126516774	0.013901109
NA021015_23_92bp	0.12390956	0.011613584
NA021015_25_92bp	0.127376088	0.009502024
NA021015_26_92bp	0.135951662	0.00985395
NA021015_30_92bp	0.135620334	0.010029914
YS_121316_01_92bp	0.128205128	0.004926975
YS_121316_03_92bp	0.129083807	0.008974133
YS_121316_05_92bp	0.132390279	0.029737815
YS_121316_13_92bp	0.126944837	0.004751012
YS_121316_17_92bp	0.131513648	0.007214499
YS_121316_18_92bp	0.113828613	0.043111033
YS_121316_21_92bp	0.135221239	0.005806792
YS_121316_22_92bp	0.129442971	0.004926975
YS_121316_23_92bp	0.134771843	0.005102939
YS_121316_24_92bp	0.126371681	0.005806792
YS_121316_25_92bp	0.123579545	0.008974133
YS_121316_26_92bp	0.136363636	0.005102939
YS_121316_27_92bp	0.110217066	0.059651592
YS_121316_28_92bp	0.111153335	0.073904628
YS_121316_29_92bp	0.099495733	0.092732712
YS121315_08.1_92bp	0.127575703	0.017948267
YS121315_10.1_92bp	0.122858184	0.03466479
YS121315_12_92bp	0.121045148	0.010029914
YS121315_12_300_92bp	0.111050725	0.028682034
YS121315_15_92bp	0.117480035	0.008446243
YS121315_16_92bp	0.124047492	0.007038536
YS121316_30_92bp	0.137784091	0.008974133
YS_121316_04_92bp	0.120087336	0.032905156
YS_121316_19_92bp	0.110505544	0.063698751
YS_121316_21_2_92bp	0.134241245	0.005102939
YS_121316_20_2_92bp	0.133038087	0.006686609
YS_121316_07_92bp	0.130773314	0.005630829
JUK07_01_92bp	0.096960656	0.056308288
JUK07_02.1_92bp	0.138186959	0.004223122
JUK07_02_rep.1_92bp	0.137626039	0.005278902
JUK07_03_92bp	0.103845439	0.05278902
JUK07_06.1_92bp	0.138035175	0.009502024
JUK07_09.1_92bp	0.140257905	0.003871195
JUK07_09_rep.1_92bp	0.140611199	0.003871195
JUK07_14_92bp	0.107175969	0.051029386
JUK07_15_92bp	0.116456595	0.00879817
JUK07_16.1_92bp	0.138133333	0.010205877
JUK07_16_rep.1_92bp	0.138256228	0.011085694
JUK07_17_92bp	0.095045306	0.087277846
JUK07_18_92bp	0.111603843	0.047686081
JUK07_19_92bp	0.115535714	0.014604962
JUK07_20_92bp	0.097098214	0.054020764
JUK07_22_92bp	0.087805803	0.072144994
JUK07_25_92bp	0.079606978	0.122470526
JUK07_26_92bp	0.113944365	0.013197255
JUK07_27_92bp	0.117186109	0.011965511
JUK07_28_92bp	0.079018547	0.089213444
JUK07_29.1_92bp	0.126810314	0.003695231
JUK07_30_92bp	0.13253012	0.006862573
JUK07_32_92bp	0.14328675	0.005278902
JUK07_36.1_92bp	0.134649591	0.010733767
JUK07_37.1_92bp	0.135159168	0.010557804
JUK07_10_92bp	0.108399546	0.06985747
JUK07_13_92bp	0.123432461	0.017772303
JUK07_21_92bp	0.127158273	0.021643498
JUK07_23_92bp	0.134365545	0.011261658
JUK07_34_92bp	0.133381012	0.015836706
JUK07_04_92bp	0.126213592	0.021291571
JUK07_12_92bp	0.107273076	0.083054725
JUK07_31_92bp	0.120353982	0.005806792
JUK07_11_92bp	0.137992832	0.01812423
JUK07_06_2_92bp	0.138311111	0.010205877
JUK07_08_92bp	0.140989399	0.004047158
JUK07_33_92bp	0.128236963	0.007918353
JB121807_01_92bp	0.128601921	0.010733767
JB121807_03.1_92bp	0.13086771	0.010381841
JB121807_04.1_92bp	0.104185022	0.201126166
JB121807_05_92bp	0.06886354	0.166989266
JB121807_06.1_92bp	0.137076649	0.012845328
JB121807_08_92bp	0.122267638	0.00985395
JB121807_08_rep_92bp	0.120931887	0.010557804
JB121807_09.1_92bp	0.093967796	0.267816294
JB121807_11.1_92bp	0.13318005	0.005102939
JB121807_12.1_92bp	0.11743487	0.121942636
JB121807_14.1_92bp	0.127829078	0.028154144
JB121807_16.1_92bp	0.103440572	0.212387823
JB121807_19.1_92bp	0.137531217	0.013549182
JB121807_20.1_92bp	0.134749241	0.014077072
JB121807_21.1_92bp	0.117723157	0.047862045
JB121807_24.1_92bp	0.123941632	0.023227169
JB121807_25_92bp	0.116032928	0.102234735
JB121807_27_92bp	0.075686106	0.179306704
JB121807_28.1_92bp	0.123329722	0.025514693
JB121807_30_92bp	0.079916753	0.154495865
JB121807_31.1_92bp	0.119440459	0.018828084
JB121807_32.1_92bp	0.113032399	0.033257083
JB121807_33.1_92bp	0.119299526	0.035368643
JB121807_34.1_92bp	0.127610209	0.014077072
JB121807_37_92bp	0.125155777	0.011613584
JB121807_38.1_92bp	0.125272331	0.030793595
JB121807_41.1_92bp	0.112048453	0.186521204
JB121807_42_92bp	0.082821478	0.111912722
JB121807_44_92bp	0.118362239	0.015836706
JB121807_46_92bp	0.100752432	0.041175436
JB121807_48.1_92bp	0.095056227	0.170684498
JB121807_22_c_92bp	0.092127303	0.159598803
JB121807_26_c_92bp	0.104283776	0.092204821
