sample	n_genos_0000	p_missing_loci
KOD03_035	8842	0.798574983036
KOD03_051	8890	0.845106861642
KOD03_052	8842	0.798461886451
KOD03_053	9887	0.940426823101
KOD03_054	8871	0.803066170668
KOD03_055	8821	0.791180138306
KOD03_056	8924	0.85656656208
KOD03_057	8815	0.780260918888
KOD03_058	8860	0.827539503386
KOD03_059	9426	0.920326755782
KOD03_060	9840	0.915142276423
KOD03_061	8817	0.785527957355
KOD03_062	10259	0.957403255678
KOD03_063	8844	0.800881953867
KOD03_064	8823	0.782160262949
KOD03_065	8827	0.79086892489
KOD03_066	8836	0.785989135355
KOD03_067	8819	0.783422156707
KOD03_068	9391	0.920562240443
KOD03_069	8844	0.804387155133
KOD03_070	9206	0.902672170324
KOD03_071	8822	0.788710043074
KOD03_072	9203	0.904922307943
KOD03_073	9423	0.925713679295
KOD03_074	8846	0.799118245535
KOD03_075	9135	0.888013136289
KOD03_076	8848	0.81396925859
KOD03_077	8918	0.851311953353
KOD03_078	8827	0.791322079982
KOD03_079	9207	0.8972520908
KOD03_080	9153	0.906150988747
KOD03_081	8824	0.786718041704
KOD03_082	8840	0.795814479638
KOD03_083	8884	0.843426384511
KOD03_084	8827	0.788603149428
KOD03_085	8843	0.79746692299
KOD03_086	9060	0.855518763797
KOD03_087	11775	0.984288747346
KOD03_088	10732	0.972418934029
KOD03_089	8821	0.786645505045
KOD03_090	8845	0.806331260599
KOD03_091	10217	0.961534697074
KOD03_092	12504	0.984484964811
KOD03_093	8854	0.818387169641
KOD03_094	9391	0.912575870514
KOD03_095	9157	0.889155837065
KOD03_096	8837	0.798800497907
KOD03_097	8884	0.834196307969
AD06_001	10704	0.623038116592
AD06_002	12170	0.955135579293
AD06_003	10697	0.654202112742
AD06_004	10683	0.638303847234
AD06_005	11557	0.917971791988
AD06_006	10715	0.663835744284
AD06_007	10704	0.648262331839
AD06_008	10686	0.626333520494
AD06_009	10785	0.76578581363
AD06_010	10890	0.807438016529
AD06_011	10704	0.615284005979
AD06_012	10939	0.865527013438
AD06_013	10732	0.734998136414
AD06_014	11214	0.898698056001
AD06_015	11335	0.888751654169
AD06_016	11173	0.910856529133
AD06_017	10691	0.62660181461
AD06_018	10682	0.63499344692
AD06_019	10811	0.785773748959
AD06_020	10710	0.643884220355
AD06_021	10694	0.676547596783
AD06_022	11764	0.947636858211
AD06_023	10708	0.680519237953
AD06_024	11347	0.919185687847
AD06_025	10693	0.642569905546
AD06_026	11368	0.851952850106
AD06_027	11127	0.89152511908
AD06_028	11450	0.939650655022
AD06_029	10683	0.630534494056
AD06_030	10686	0.627175743964
AD06_031	12966	0.973391948172
AD06_032	10708	0.659320134479
AD06_033	11086	0.869294605809
AD06_034	11722	0.954103395325
AD06_035	10687	0.638345653598
AD06_036	10683	0.626696620799
AD06_037	10746	0.79229480737
AD06_038	10764	0.77945001858
AD06_039	11060	0.894303797468
AD06_040	10697	0.649247452557
AD06_041	10684	0.632160239611
AD06_042	10707	0.709909405062
AD06_043	11377	0.91948668366
AD06_044	10697	0.622697952697
AD06_045	10702	0.647449074939
AD06_046	10711	0.663243394641
AD06_047	10701	0.651060648538
AD06_048	10686	0.629889575145
WC05_001	10010	0.709290709291
